q,count_per_mil,total,year
Q1,1.22,8459.0,2008
Q2,1.25,,2008
Q3,1.33,9435.0,2008
Q4,1.32,9947.0,2008
Q1,1.09,7552.0,2009
Q2,1.16,8975.0,2009
Q3,1.17,9104.0,2009
Q4,1.12,8252.0,2009
Q1,0.98,6755.0,2010
Q2,1.09,8522.0,2010
Q3,1.18,9226.0,2010
Q4,1.14,8496.0,2010
Q1,0.98,6726.0,2011
Q2,1.09,8227.0,2011
Q3,1.18,8984.0,2011
Q4,1.17,8542.0,2011
Q1,1.08,7521.0,2012
Q2,1.12,8612.0,2012
Q3,1.21,9171.0,2012
Q4,1.16,8478.0,2012
Q1,1.04,7166.0,2013
Q2,1.07,8207.0,2013
Q3,1.17,9024.0,2013
Q4,1.15,8496.0,2013
Q1,0.99,6856.0,2014
Q2,1.03,8179.0,2014
Q3,1.11,8799.0,2014
Q4,1.17,8910.0,2014
Q1,1.03,7370.0,2015
Q2,1.08,8823.0,2015
Q3,1.2,9805.0,2015
Q4,1.21,9486.0,2015
Q1,1.11,8154.0,2016
Q2,1.16,9563.0,2016
Q3,1.23,10078.0,2016
Q4,1.27,10011.0,2016
Q1,1.12,8301.0,2017
Q2,1.13,9460.0,2017
Q3,1.21,10081.0,2017
Q4,1.2,9631.0,2017
Q1,1.1,8203.0,2018
Q2,1.11,9323.0,2018
Q3,1.18,9934.0,2018
Q4,1.15,9375.0,2018
Q1,1.05,7816.0,2019
Q2,1.08,9172.0,2019
Q3,1.17,9953.0,2019
Q4,1.12,9155.0,2019
Q1,1.11,7860.0,2020
Q2,1.45,9070.0,2020
Q3,1.48,11260.0,2020
